p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SFTPC	0	7.75886720245165	0.999	0.443	0	AT2	SFTPC
SFTPA1	0	7.4783609162998	0.998	0.129	0	AT2	SFTPA1
PGC	0	6.96438881384134	0.953	0.057	0	AT2	PGC
SFTPD	0	5.89102892934199	0.999	0.034	0	AT2	SFTPD
SFTPB	0	5.84520265599818	0.999	0.109	0	AT2	SFTPB
ENSMMUG00000057196	0	5.70530399172794	0.987	0.027	0	AT2	ENSMMUG00000057196
ENSMMUG00000039375	0	5.18815134889962	0.872	0.011	0	AT2	ENSMMUG00000039375
PLA2G1B	0	5.04171314887008	0.998	0.042	0	AT2	PLA2G1B
SFTA2	0	4.85547960142421	0.996	0.034	0	AT2	SFTA2
NAPSA	0	4.75126808016673	0.994	0.022	0	AT2	NAPSA
C20H16orf89	0	4.40320081704089	0.991	0.021	0	AT2	C20H16orf89
NPC2	0	4.34576247292862	0.997	0.44	0	AT2	NPC2
WFDC2	0	4.13683360708746	0.99	0.067	0	AT2	WFDC2
SLC34A2	0	4.02639762473513	0.979	0.021	0	AT2	SLC34A2
LAMP3	0	3.39081981039019	0.956	0.011	0	AT2	LAMP3
CTSH	0	3.37857804759152	0.992	0.272	0	AT2	CTSH
AGR2	0	3.32215827572469	0.758	0.016	0	AT2	AGR2
CXCL17	0	3.26274437448267	0.958	0.023	0	AT2	CXCL17
HHIP	0	3.25879948400575	0.931	0.01	0	AT2	HHIP
MUC1	0	3.11214298800765	0.936	0.027	0	AT2	MUC1
GSTA1	0	3.00721352909435	0.912	0.023	0	AT2	GSTA1
SLC39A8	0	2.9539920018768	0.877	0.045	0	AT2	SLC39A8
ENSMMUG00000009038	0	2.68738830540862	0.819	0.009	0	AT2	ENSMMUG00000009038
LCN2	0	2.57307643259114	0.658	0.02	0	AT2	LCN2
AQP3	0	2.52048640991518	0.811	0.062	0	AT2	AQP3
DCXR	0	2.51838508140308	0.974	0.303	0	AT2	DCXR
ENPEP	0	2.46576722793612	0.761	0.003	0	AT2	ENPEP
C5	0	2.45359379831053	0.889	0.012	0	AT2	C5
MGST1	0	2.39916380484755	0.906	0.064	0	AT2	MGST1
C3	0	2.32125525113767	0.917	0.055	0	AT2	C3
SLC46A2	0	2.31789022384812	0.804	0.031	0	AT2	SLC46A2
ENSMMUG00000002786	0	2.29775256173016	0.542	0.004	0	AT2	ENSMMUG00000002786
LPCAT1	0	2.28026143895181	0.88	0.067	0	AT2	LPCAT1
P3H2	0	2.23128279375207	0.86	0.01	0	AT2	P3H2
ETV5	0	2.17399562202287	0.836	0.036	0	AT2	ETV5
SELENBP1	0	2.16028471749727	0.928	0.11	0	AT2	SELENBP1
CLDN18	0	2.14834718906629	0.914	0.057	0	AT2	CLDN18
CLDN4	0	2.10982471875979	0.881	0.029	0	AT2	CLDN4
MLPH	0	2.09666698378	0.846	0.035	0	AT2	MLPH
DRAM1	0	2.07062962347845	0.904	0.138	0	AT2	DRAM1
MFSD2A	0	1.99763260555057	0.752	0.006	0	AT2	MFSD2A
BCAM	0	1.99621107576701	0.971	0.159	0	AT2	BCAM
HPN	0	1.95194352188934	0.774	0.015	0	AT2	HPN
SLC22A31	0	1.93950598434049	0.766	0.017	0	AT2	SLC22A31
VARS2	0	1.92007926994988	0.8	0.054	0	AT2	VARS2
EPHX1	0	1.90654243769026	0.97	0.213	0	AT2	EPHX1
SDC4	0	1.87039774849494	0.839	0.051	0	AT2	SDC4
MET	0	1.86022086944409	0.785	0.029	0	AT2	MET
ATP1B1	0	1.81569163484967	0.832	0.12	0	AT2	ATP1B1
CD14	0	1.80391373666307	0.903	0.222	0	AT2	CD14
ATP8A1	0	1.80253589168923	0.829	0.083	0	AT2	ATP8A1
LRRK2	0	1.78151435726365	0.791	0.087	0	AT2	LRRK2
AGR3	0	1.76235657830448	0.706	0.02	0	AT2	AGR3
TMEM238	0	1.75762419785764	0.88	0.159	0	AT2	TMEM238
ENSMMUG00000055518	0	1.73956983197096	0.767	0.025	0	AT2	ENSMMUG00000055518
MBIP	0	1.70806275625676	0.85	0.087	0	AT2	MBIP
DHCR24	0	1.66703282215864	0.754	0.069	0	AT2	DHCR24
NKX2-1	0	1.65656094680163	0.793	0.033	0	AT2	NKX2-1
ABCA3	0	1.64769510111314	0.7	0.016	0	AT2	ABCA3
EPCAM	0	1.61962111401609	0.776	0.03	0	AT2	EPCAM
DDT	0	1.61692982928657	0.912	0.167	0	AT2	DDT
BLVRB	0	1.60983173355961	0.92	0.275	0	AT2	BLVRB
CAT	0	1.60120269697912	0.946	0.379	0	AT2	CAT
SAT1	0	1.57514387348327	0.971	0.438	0	AT2	SAT1
ENSMMUG00000031911	0	1.57490118037881	0.755	0.07	0	AT2	ENSMMUG00000031911
GSTM3	0	1.56607487177872	0.663	0.051	0	AT2	GSTM3
ENSMMUG00000004431	0	1.55616234708944	0.618	0.046	0	AT2	ENSMMUG00000004431
PEBP4	0	1.54990000799205	0.74	0.023	0	AT2	PEBP4
CLDN3	0	1.5268491277179	0.702	0.023	0	AT2	CLDN3
GPAM	0	1.51841949800371	0.691	0.063	0	AT2	GPAM
FABP5	0	1.5162513965469	0.949	0.336	0	AT2	FABP5
ETV1	0	1.5095076758709	0.699	0.019	0	AT2	ETV1
PCBD1	0	1.50180271890382	0.894	0.226	0	AT2	PCBD1
RAI14	0	1.49935970213598	0.76	0.039	0	AT2	RAI14
ATP1A1	0	1.49495179170218	0.875	0.32	0	AT2	ATP1A1
ACSL4	0	1.48082861039085	0.795	0.18	0	AT2	ACSL4
CCDC141	0	1.48055002949226	0.604	0.004	0	AT2	CCDC141
SPINT2	0	1.47308669222553	0.899	0.252	0	AT2	SPINT2
EPDR1	0	1.46461199172266	0.719	0.035	0	AT2	EPDR1
CLIC3	0	1.44878862197147	0.812	0.083	0	AT2	CLIC3
BTG3	0	1.43358225867866	0.806	0.103	0	AT2	BTG3
CES1	0	1.43143868087341	0.832	0.061	0	AT2	CES1
PRSS36	0	1.42867238259824	0.736	0.046	0	AT2	PRSS36
IRX2	0	1.42172770187671	0.709	0.025	0	AT2	IRX2
SLC13A2	0	1.41244501912178	0.667	0.009	0	AT2	SLC13A2
CP	0	1.40961727577317	0.635	0.023	0	AT2	CP
TMEM125	0	1.40925834285064	0.678	0.018	0	AT2	TMEM125
TCIM	0	1.40682772640024	0.709	0.06	0	AT2	TCIM
CPM	0	1.39444928646053	0.736	0.136	0	AT2	CPM
IGFL3	0	1.39312354701796	0.488	0.002	0	AT2	IGFL3
ACSL5	0	1.3794612252976	0.791	0.124	0	AT2	ACSL5
SERPINA3	0	1.3761317653307	0.17	0.004	0	AT2	SERPINA3
MRPL14	0	1.37606293167794	0.877	0.278	0	AT2	MRPL14
S100A9	0	1.37491544569692	0.82	0.071	0	AT2	S100A9
HMGCS1	0	1.36321563823024	0.668	0.087	0	AT2	HMGCS1
TSTD1	0	1.35374866486261	0.725	0.046	0	AT2	TSTD1
ENSMMUG00000011711	0	1.35026130071394	0.854	0.264	0	AT2	ENSMMUG00000011711
KRT19	0	1.3384440183246	0.862	0.08	0	AT2	KRT19
CXCL3	0	1.33482710138109	0.337	0.051	0	AT2	CXCL3
CREB3L1	0	1.32603624957567	0.625	0.013	0	AT2	CREB3L1
SLA	0	1.31453981477044	0.765	0.171	0	AT2	SLA
DACT2	0	1.29143785508864	0.619	0.003	0	AT2	DACT2
NMU	0	1.28587355403281	0.249	0.005	0	AT2	NMU
MMP7	0	1.27063169870824	0.338	0.006	0	AT2	MMP7
ENSMMUG00000023144	0	1.25701051628064	0.801	0.219	0	AT2	ENSMMUG00000023144
MAL2	0	1.23766799217982	0.669	0.026	0	AT2	MAL2
IRX1	0	1.2346864871978	0.611	0.014	0	AT2	IRX1
TTC39A	0	1.22801828411473	0.643	0.016	0	AT2	TTC39A
ETFB	0	1.22782102316709	0.921	0.401	0	AT2	ETFB
AADAC	0	1.22037396974481	0.469	0.006	0	AT2	AADAC
PDIA5	0	1.21684096640961	0.693	0.047	0	AT2	PDIA5
TXNDC17	0	1.21373158401326	0.782	0.204	0	AT2	TXNDC17
CYB5A	0	1.21271062727688	0.895	0.299	0	AT2	CYB5A
ELF3	0	1.20999857875968	0.628	0.02	0	AT2	ELF3
